program,organization,phone_number,fax_number,email,website,address,hours,contact,description,fees,application,eligibility,languages,areas_served
,,,,,,,,,"This section list programs offering career and job search assistance, such as employment counselling, resume workshops, access to phones, fax machines, computers and other resources, and information about skills upgrading and vocational training.",,,,,
Job Opportunity Information Network,,416-750-0666 Ext 5147,416-750-0671,info@joininfo.ca,www.joininfo.ca,,Mon-Fri 8:30 am-4:30 pm,,"Network of community agencies delivering employment support services * liaison between people with disabilities who need assistance finding and maintaining employment, and employers requiring",None,Call or visit website,Persons with disabilities * employers,English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Ontario. Employment Ontario - Ontario Job Bank,,,Employers only -- 1-866-664-2534,,www.jobbank.gc.ca,,,,Bilingual online job bank serving the needs of job seekers and employers ,None,,"Open to all, including job seekers and employers",English ; French,"Algoma, Barrie & Area, Brampton, Brant, Burlington, Caledon, Cambridge, Chatham â Kent, Cochrane, Collingwood & Area, Dufferin County, Durham Region, East York, Elgin, Etobicoke, Frontenac & Kingston, Grey and Bruce, Guelph, Haldimand Norfolk, Haliburton, Halton, Hamilton, Hastings, Huron and Perth, Kawartha Lakes, Kenora District, Kitchener-Waterloo, Lanark, Leeds & Grenville, Lennox & Addington, London and Middlesex, Malton, Manitoulin/Sudbury, Midland, Penetanguishene & Area, Mississauga, Muskoka, Niagara, Nipissing, North Lanark/North Grenville, North York, Northumberland, Orillia & Area, Ottawa, Oxford and Norfolk, Parry Sound, Peterborough, Prescott/Russell, Prince Edward, Rainy River District, Renfrew County, Rural Wellington, Sarnia â Lambton, Scarborough, South Simcoe, Stormont/Dundas/Glengarry, Thunder Bay City, Thunder Bay District, Timiskaming, Toronto, Trent Hills, Windsor â Essex, Woodbridge, York - Toronto, York Region"
Toronto. Toronto Youth Job Corps,,416-392-0126,416-392-9732,,www1.toronto.ca/wps/portal/contentonly?vgnextoid=a...,Toronto City Hall,Mon-Fri 9 am-5 pm,"Jabari Lindsay - Manager, Youth Development","Full time paid employment preparation program -- 5 week pre-employment including resume preparation, employment readiness skills, career planning, counselling and referral; 16 to 24 week supported",None,"Self referral or referral from employment service programs, schools and social service agencies","Youth 16-29 years who are out of school, out of work, and require support in obtaining and maintaining employment",English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Youth Employment Services YES - Youth Job Centre,,416-656-8900,416-656-8904,yjc@yes.on.ca,www.yes.on.ca,"2562 Eglinton Ave W, Ste 201","Mon-Thu 9 am-5 pm, Fri 9 am-4:30 pm",,"Paid, group-based employability and life skills workshops * paid work placements to a maximum of 10 weeks * individual counselling * follow-up support",,Self or agency referral,"At risk, unemployed and out of school youth 15-30 years, with less than high school completion, not receiving Employment Insurance (EI) benefits and facing barriers to employment * must be legally entitled to work in Canada",English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Ontario. Employment Ontario - Canada-Ontario Job Grant Skills Training Pilots,,,,employmenthotlineinquiries@ontario.ca,www.tcu.gov.on.ca/eng/eopg/cojg/,,Telephone inquiries Mon-Fri 8:30 am-5 pm,,"COJG: Customized Training -- support for employers to develop firm-specific training solutions, in partnership with training providers, to meet their unique workforce development needs",No application fees,Applications and Call for Proposal forms are available online * call or visit website for details,COJG: Customized Training -- individual private and not-for-profit sector employers with unique training needs not available elsewhereCOJG: UpSkill -- multiple sectoral employers who have shared workforce development needs,English ; French,"Algoma, Barrie & Area, Brampton, Brant, Burlington, Caledon, Cambridge, Chatham â Kent, Cochrane, Collingwood & Area, Dufferin County, Durham Region, East York, Elgin, Etobicoke, Frontenac & Kingston, Grey and Bruce, Guelph, Haldimand Norfolk, Haliburton, Halton, Hamilton, Hastings, Huron and Perth, Kawartha Lakes, Kenora District, Kitchener-Waterloo, Lanark, Leeds & Grenville, Lennox & Addington, London and Middlesex, Malton, Manitoulin/Sudbury, Midland, Penetanguishene & Area, Mississauga, Muskoka, Niagara, Nipissing, North Lanark/North Grenville, North York, Northumberland, Orillia & Area, Ottawa, Oxford and Norfolk, Parry Sound, Peterborough, Prescott/Russell, Prince Edward, Rainy River District, Renfrew County, Rural Wellington, Sarnia â Lambton, Scarborough, South Simcoe, Stormont/Dundas/Glengarry, Thunder Bay City, Thunder Bay District, Timiskaming, Toronto, Trent Hills, Windsor â Essex, Woodbridge, York - Toronto, York Region"
Job Centre,Covenant House Toronto,416-598-4898,,neilson@covenanthouse.ca,www.covenanthousetoronto.ca,20 Gerrard St E,Mon-Fri 8:30 am-4:30 pm,Danielle Neilson - Special Services Manager,,,,Youth 16-24 years residing in shelters,English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
JobStart - Lake Shore Boulevard - Ontario Employment Services,,416-231-2295,416-253-2727,info@jobstartworks.org,www.jobstartworks.org,2930 Lake Shore Blvd W,"Mon, Wed, Thu 9 am-5 pm; Tue 9 am-7 pm; Fri 9 am-4 pm * closed on statutory holidays","Tracy Houston - Manager, Programs and Services","Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in Canada",English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
YMCA of Greater Toronto - Scarborough North East - Ontario Employment Services,,416-335-5490,416-335-1561,garth.neilson@ymcagta.org,www.ymcagta.org,"5635 Finch Ave E, Units 9 and 10",Mon-Fri 8:30 am-5 pm,Garth Neilson - General Manager,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Connection -- Ontario residents 15-29 years who are eligible to work in Canada, unemployed, not attending school full time and experiencing multiple barriers to employmentYouth Job Connection Summer -- Ontario residents 15-18 years who intend to continue high school or go on to postsecondary education after the job placement * focus on those facing challenging life circumstances and at risk of experiencing poor transitions between education and workYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in Canada",English,Scarborough
VPI Working Solutions - Etobicoke Centre - Ontario Employment Services,,416-255-8400,416-251-8400,info@vpi-inc.com,www.vpi-inc.com,"56 Aberfoyle Cres, Ste 600","Mon-Fri 8:30 am-4:30 pm, also Wed 4:30 pm-7:30 pm",Frank Kelly - Manager,Providing employment services to individuals and organizations,None,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Connection -- Ontario residents 15-29 years who are eligible to work in Canada, unemployed, not attending school full time and experiencing multiple barriers to employmentYouth Job Connection Summer -- Ontario residents 15-18 years who intend to continue high school or go on to postsecondary education after the job placement * focus on those facing challenging life circumstances and at risk of experiencing poor transitions between education and workYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in Canada",English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
